,Regime,Trial,Chem,Conc_in,Conc_out,Normconc,base,rel_normconc,Variance,Anisotropy,massflux_in,massflux_out,delmassflux,reldelmassflux,normmassflux,Time,fraction,spatial_normmassflux_base,spatial_reldelmassflux_base,normmassflux_spatial_fraction,reldelmassflux_spatial_fraction,k,tau,Da
10,Slow,37,Nitrogen,312.4,134.39092355340318,0.43018861572792316,0.43009951825178405,1.000207155489272,0.1,2,-0.178245166,-0.07667904099999999,-0.101566125,56.98113843,0.430188616,205.0,1.0,0.43009951799999996,56.99004817,1.000207155,0.999843661,0.004114787928008492,241.62904400885444,0.8484079421863202
11,Slow,37,TOC,824.0,555.3660047505723,0.6739878698429276,0.6737875015626694,1.0002973760715261,0.1,2,-0.470147301,-0.316873578,-0.153273723,32.60121302,0.67398787,205.0,1.0,0.673787502,32.62124984,1.000297376,0.9993857740000001,0.001924600807304726,516.6018166313929,0.3968240013880403
12,Slow,38,DOC,799.9999999999999,326.05833858183263,0.40757292322729083,0.407627887222348,0.9998651613474443,0.1,5,-0.45924309,-0.18717504899999998,-0.272068042,59.24270768,0.407572923,205.0,1.0,0.407627887,59.23721128,0.9998651609999999,1.000092786,0.004378221510274814,227.0904455177873,0.902724020522224
13,Slow,38,DO,250.0,1.06740652997465,0.0042696261198986,0.004272559714409002,0.9993133871246999,0.1,5,-0.143513466,-0.000612749,-0.14290071699999998,99.57303739,0.0042696259999999995,205.0,1.0,0.00427256,99.57274403,0.999313387,1.000002946,1.4654652972916473,0.6784550102833293,302.1571023764568
14,Slow,38,Ammonium,60.0,48.2050894044928,0.8034181567415467,0.8021345808492499,1.0016002001695747,0.1,5,-0.034443232000000004,-0.027672317999999998,-0.006770914,19.65818433,0.8034181570000001,205.0,1.0,0.8021345809999999,19.78654192,1.0016002,0.993512884,0.0010677071094384117,931.2031966021278,0.2201452924002254
15,Slow,38,Nitrate,250.0,63.339135802595884,0.25335654321038353,0.25330062199970477,1.000220770127753,0.1,5,-0.143513466,-0.036360076,-0.10715339,74.66434568,0.253356543,205.0,1.0,0.253300622,74.6699378,1.00022077,0.9999251090000001,0.006697353759174694,148.45449547619347,1.3808945249008933
16,Slow,38,Nitrogen,312.4,134.43351721620115,0.4303249590787489,0.43009951825178405,1.0005241596825805,0.1,5,-0.179334427,-0.07717208,-0.10216234699999999,56.96750409,0.430324959,205.0,1.0,0.43009951799999996,56.99004817,1.00052416,0.9996044209999999,0.004113242131309263,241.71985057135257,0.8480892219461581
17,Slow,38,TOC,824.0000000000001,554.951258672957,0.6734845372244623,0.6737875015626694,0.9995503562510369,0.1,5,-0.473020383,-0.318571914,-0.154448469,32.65154628,0.673484537,205.0,1.0,0.673787502,32.62124984,0.999550356,1.000928733,0.0019282450840513255,515.6254677205765,0.397575396937321
18,Slow,39,DOC,799.9999999999999,326.25011139200086,0.4078126392400011,0.407627887222348,1.0004532369434094,0.1,10,-0.45728805899999997,-0.18648785,-0.27080020899999996,59.21873608,0.407812639,202.5,0.9878048779999999,0.407627887,59.23721128,1.000453237,0.999688115,0.004429370012837838,224.46810053397704,0.9021326394186162
19,Slow,39,DO,249.99999999999994,1.0692143562503469,0.0042768574250013885,0.004272559714409002,1.0010058866065448,0.1,10,-0.142902519,-0.000611174,-0.142291345,99.57231426,0.004276857,202.5,0.9878048779999999,0.00427256,99.57274403,1.001005887,0.999995684,1.4617223017857637,0.6801923129511017,297.7099213624272
